Descr. 1,Descr. 2,Comune,Provincia,Tipologia punto vendita,P.Iva,Email punto vendita,Agente,Link modulo precompilato
Il Bello Delle Erbe S.n.c. di Crivellari,Sabrina,Trissino,VI,Erboristeria,03061670240,ilbellodelleerbe.t1@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Il%20Bello%20Delle%20Erbe%20S.n.c.%20di%20Crivellari&rc51bef4dd505413ebc19b4d510a3365a=Sabrina&r26540616401e4f999c44de10ddc004ee=Trissino&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03061670240&r1addcad129b44b3cb2220834a33335d5=ilbellodelleerbe.t1%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Gaia S.n.c. Di Cusinato Giorgia,,Cadoneghe,PD,Erboristeria,03736130281,gaia-pd@libero.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Gaia%20S.n.c.%20Di%20Cusinato%20Giorgia&r26540616401e4f999c44de10ddc004ee=Cadoneghe&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03736130281&r1addcad129b44b3cb2220834a33335d5=gaia-pd%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
La Bottega Delle Erbe,Alfarè Lovo Silvia,Predazzo,TN,Erboristeria,01317350229,info@bottegadelleerbe.com,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=La%20Bottega%20Delle%20Erbe&rc51bef4dd505413ebc19b4d510a3365a=Alfar%C3%A8%20Lovo%20Silvia&r26540616401e4f999c44de10ddc004ee=Predazzo&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=01317350229&r1addcad129b44b3cb2220834a33335d5=info%40bottegadelleerbe.com&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Erboristeria Natura Per Te di Laura Vion,i,Valeggio Sul Mincio,VR,Erboristeria,02426190233,naturaperte@virgilio.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Natura%20Per%20Te%20di%20Laura%20Vion&rc51bef4dd505413ebc19b4d510a3365a=i&r26540616401e4f999c44de10ddc004ee=Valeggio%20Sul%20Mincio&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02426190233&r1addcad129b44b3cb2220834a33335d5=naturaperte%40virgilio.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmacia S. Fidenzio Di Chinello Giulia,eliminato,Polverara,PD,Farmacia,05412690280,farmacia@farmaciasanfidenzio.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20S.%20Fidenzio%20Di%20Chinello%20Giulia&rc51bef4dd505413ebc19b4d510a3365a=eliminato&r26540616401e4f999c44de10ddc004ee=Polverara&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=05412690280&r1addcad129b44b3cb2220834a33335d5=farmacia%40farmaciasanfidenzio.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
All'Erbolaio S.n.c. di Silvia Lorenzin &, C.,San Giorgio Delle Pertiche,PD,Erboristeria,01497050284,silvialorenzin@gmail.com,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=All%27Erbolaio%20S.n.c.%20di%20Silvia%20Lorenzin%20%26&rc51bef4dd505413ebc19b4d510a3365a=C.&r26540616401e4f999c44de10ddc004ee=San%20Giorgio%20Delle%20Pertiche&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=01497050284&r1addcad129b44b3cb2220834a33335d5=silvialorenzin%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Parafarmacia San Carlo,,Padova,PD,Parafarmacia,04599070283,info@parafarmaciaconciapelli.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20San%20Carlo&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04599070283&r1addcad129b44b3cb2220834a33335d5=info%40parafarmaciaconciapelli.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
ERB. ELEONORA ECO & BIO,,Colognola ai Colli,VR,Erboristeria,04652960230,ele.barbaro.eb@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=ERB.%20ELEONORA%20ECO%20%26%20BIO&r26540616401e4f999c44de10ddc004ee=Colognola%20ai%20Colli&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04652960230&r1addcad129b44b3cb2220834a33335d5=ele.barbaro.eb%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
IL GIARDINO DEI CAPPERI DI PAULETTO,ANTONIA CATIA,Montecchio Maggiore,VI,Erboristeria,02544440247,info@erboristeriailcappero.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=IL%20GIARDINO%20DEI%20CAPPERI%20DI%20PAULETTO&rc51bef4dd505413ebc19b4d510a3365a=ANTONIA%20CATIA&r26540616401e4f999c44de10ddc004ee=Montecchio%20Maggiore&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02544440247&r1addcad129b44b3cb2220834a33335d5=info%40erboristeriailcappero.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Farmaceuticamente S.n.c.,,Rovigo,RO,Parafarmacia,01340460292,farmaceuticamente@libero.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmaceuticamente%20S.n.c.&r26540616401e4f999c44de10ddc004ee=Rovigo&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01340460292&r1addcad129b44b3cb2220834a33335d5=farmaceuticamente%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
